"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1995 <= Year >= 2000""]"																																						
	1997	3	19	19	57	11.9			"PAKISTAN:  BAJAUR, CHITRAL"	34.872	71.62	50	4.9		15	1						1				1	15	1						1				1
	1997	3	26	8	31	47.1			"JAPAN:  KYUSHU, KAGOSHIMA"	31.92	130.429	10	6.1	6								2																
	1997	4	5	23	46	19.5			"CHINA:  S. XINJIANG, JIASHI COUNTY"	39.513	76.865	33	5.9						23	1		3	3000	4							23	1		3	3000	4		
	1997	4	6	4	36	35.2			"CHINA:  S. XINJIANG"	39.537	76.998	33	6									3												3				
	1997	4	11	5	34	42.7			"CHINA:  S. XINJIANG, BACHU, SHULE, YINGJISHA"	39.527	76.941	15	6.2		9	1			89	2		4	2000	4			9	1			89	2		4	2000	4		
	1997	4	21	12	2	26.4	2273		"SOLOMON ISLANDS:  SANTA CRUZ ISLANDS; VANUATU"	-12.584	166.676	33	7.7									1												1	7	1		
	1997	4	22	9	31	23.2			"TOBAGO"	11.112	-60.892	5	6.7						2	1	25	4	3	1							2	1	25	4	3	1		
	1997	4	23	19	44	28.4			"GUAM"	13.986	144.901	101	6.5	7					4	1		1									4	1		1				
	1997	5	10	7	57	29.7			"IRAN: BIRJAND, GHAEN;  AFGHANISTAN"	33.825	59.809	10	7.2	10	1728	4			2300	4	100	4	10533	4	5474	4	1728	4			2300	4	100	4	10533	4	5474	4
	1997	5	13	14	13	45.7			"AFGHANISTAN:  HINDU-KUSH, MALAKAND-PESHAWAR"	36.411	70.945	196	6.4		1	1			11	1		2				2	1	1			11	1		2				2
	1997	5	21	22	51	28.7			"INDIA:  SOUTHERN:  JABALPUR"	23.083	80.041	36	5.8	8	56	2			1000	4	143	4	8546	4	8546	4	56	2			1000	4	143	4	8546	4	52690	4
	1997	6	25	19	38	40.6			"IRAN:  BIRJAND, QAYEN"	33.938	59.475	10	5.9									2	100	2	5000	4								3	100	2	5000	4
	1997	7	9	19	24	13.1	2274		"VENEZUELA:  CARIACO-CUMANA"	10.598	-63.486	20	7	5	81	2			522	3	81	4					81	2			522	3	81	4				
	1997	7	21	8	45	49.1			"SOUTH AFRICA:  AVGOLD'S HARTEBEESTFONTEIN MINE"	-26.857	26.619	5	5		15	1			46	1							15	1			46	1						
	1997	8	20	7	15	15.9			"INDONESIA:  N. SUMATERA, ACEH, BANDA ACEH, MEDAN"	4.358	96.494	33	6									2		3										2		3		
	1997	9	26	0	33	12.2			"ITALY:  CENTRAL:  MARCHE, UMBRIA"	43.048	12.879	10	5.7	8								1												1				
	1997	9	26	9	40	26.3			"ITALY:  CENTRAL:  MARCHE, UMBRIA"	43.084	12.812	10	6	10	14	1			100	2	4524.9	4	80000	4			14	1			100	2	4524.9	4	80000	4		
	1997	9	28	1	38	28.6			"INDONESIA:  SULAWESI, PAREPARE"	-3.776	119.727	33	5.9		20	1			300	3	1.1	2	650	3			20	1			300	3	1.1	2	650	3		
	1997	9	30	6	27	24.7	3034		"JAPAN:  HONSHU:  S"	31.959	141.878	10	6.2																									
	1997	10	14	9	53	18.1	2275		"TONGA ISLANDS"	-22.101	-176.772	167	7.7																									
	1997	10	15	1	3	33.4			"CHILE:  PUEBLO NUEVO, COQUIMBO, LA CHIMBA"	-30.933	-71.22	58	7.1		8	1			300	3	48	4	5000	4	15700	4	8	1			300	3	48	4	5000	4	15700	4
	1997	11	8	10	2	52.6			"CHINA:  TIBET (XIZANG PROVINCE)"	35.069	87.325	33	7.5																									
	1997	11	18	13	7	41.7			"GREECE:  IONIAN SEA, AMALIAS, GARGALIANOI, KALAMAI"	37.57	20.656	33	6.6									1																
	1997	11	21	11	23	6.3			"INDIA-BANGLADESH:  CHITTAGONG, BANGLADESH"	22.212	92.702	54	6.1		23	1			200	3		1	1	1		1	23	1			200	3		1	1	1		1
	1997	11	25	12	14	33.6			"INDONESIA:  SULAWESI:  MINAHASSA PENINSULA,GORONTALO"	1.241	122.536	24	7									1																
	1997	12	5	11	26	54.6	2277		"RUSSIA:  KAMCHATKA:  UST-KAMCHATSK, PETROPAVLOVSK"	54.841	162.035	33	7.8	7																								
	1998	1	10	3	50	41.5			"CHINA:  NORTHEASTERN: SHANGYI-ZHANGBEI, HEBEI"	41.083	114.5	30	5.7	8	70	2			11500	4	285.5	4	70000	4			70	2			11500	4	285.5	4	70000	4		
	1998	1	10	8	20	5.7			"GUATEMALA:  QUEZALTENANGO, SAN MARCOS, SOLOLA"	14.374	-91.473	33	6.6						27	1		1		2		2					27	1		1		2		1
	1998	2	3	3	2	0.2			"MEXICO:  OAXACA, SAN AGUSTIN, SAN FRANCISCO"	15.883	-96.298	33	6.3									2												2				
	1998	2	4	14	33	21.2			"AFGHANISTAN:  ROSTAQ; TAJIKISTAN:  DUSHANBE"	37.075	70.089	33	5.9		2323	4			818	3		4	8094	4			2323	4			818	3		4	8094	4		
	1998	2	20	12	18	6.2			"AFGHANISTAN-TAJIKISTAN:  YAR HUSAIN, ASTOR"	36.479	71.086	236	6.4		1	1			11	1		2	35	1			1	1			11	1		2	35	1		
	1998	3	14	19	40	27			"IRAN:  GOLBAF, BAFT, KERMAN"	30.154	57.605	9	6.6		5	1			50	1		3	2000	4			5	1			50	1		3	2000	4		
	1998	3	19	13	51	33.7			"CHINA:  SOUTHERN XINJIANG: ARTUX, KASHGAR"	39.977	76.731	33	5.6									1	400	3										1	400	3		
	1998	3	25	3	12	25	2587		"BALLENY ISLANDS"	-62.877	149.527	10	8.1																									
	1998	4	3	7	26	36.6			"ITALY:  CENTRAL:  GUALDO, TADINO-NOCERA UMBRA"	43.164	12.701	10	5.2									1	300	3							5	1		1	300	3		
	1998	4	10	15	0	53.1			"IRAN:  BIRJAND, GONABAD"	32.457	59.976	33	5.8	7	12	1			30	1		2	600	3			12	1			30	1		2	600	3		
	1998	4	12	10	55	32.5			"AUSTRIA:  ARNOLDSTEIN; SLOVENIA:  BOVEC, KOBARID"	46.245	13.652	10	5.7	8	1	1						2					1	1						2				
	1998	5	3	23	30	21.9	2280		"TAIWAN"	22.306	125.308	33	7.5																									
	1998	5	22	4	48	50.4			"BOLIVIA:  CENTRAL:  AIQUILE, TOTORA"	-17.731	-65.431	24	6.6		105	3			150	3		3		3			105	3			150	3		3		3		
	1998	5	28	21	11	44.1			"CHINA:  SOUTHERN XINJIANG"	37.388	78.843	33	5.6						28	1		3	2000	4							28	1		3	2000	4		
